example_id                                                                   | status | run_time        |
./spec/models/flag_spec.rb[1:1]                                              | passed | 0.00499 seconds |
./spec/models/flag_spec.rb[1:2]                                              | passed | 0.01302 seconds |
./spec/models/flag_spec.rb[1:3]                                              | passed | 0.02158 seconds |
./spec/models/flag_spec.rb[1:4]                                              | passed | 0.03869 seconds |
./spec/models/flag_spec.rb[1:5]                                              | passed | 0.006 seconds   |
./spec/models/flag_spec.rb[1:6]                                              | passed | 0.01615 seconds |
./spec/models/flag_spec.rb[1:7]                                              | passed | 0.01316 seconds |
./spec/models/flag_spec.rb[1:8:1:1]                                          | passed | 0.0131 seconds  |
./spec/models/flag_spec.rb[1:8:2:1]                                          | passed | 0.16633 seconds |
./spec/models/flag_spec.rb[1:9:1:1]                                          | passed | 0.7068 seconds  |
./spec/models/flag_spec.rb[1:9:2:1]                                          | passed | 0.84316 seconds |
./spec/models/flag_spec.rb[1:10:1:1]                                         | passed | 1.26 seconds    |
./spec/models/flag_spec.rb[1:10:2:1]                                         | passed | 1.31 seconds    |
./spec/models/flag_spec.rb[1:11:1]                                           | passed | 1.3 seconds     |
./spec/models/flag_spec.rb[1:12:1]                                           | passed | 0.01443 seconds |
./spec/models/flag_spec.rb[1:12:2]                                           | passed | 0.03631 seconds |
./spec/models/flag_spec.rb[1:13:1]                                           | passed | 0.0042 seconds  |
./spec/models/flags/action_factory_spec.rb[1:1:1:1]                          | passed | 0.00212 seconds |
./spec/models/flags/action_factory_spec.rb[1:1:2:1]                          | passed | 0.0034 seconds  |
./spec/models/flags/action_factory_spec.rb[1:1:3:1]                          | passed | 0.01051 seconds |
./spec/models/flags/action_factory_spec.rb[1:1:4:1]                          | passed | 0.00809 seconds |
./spec/models/flags/action_factory_spec.rb[1:1:5:1]                          | passed | 0.00424 seconds |
./spec/models/flags/action_spec.rb[1:1:1]                                    | passed | 0.00293 seconds |
./spec/models/flags/action_spec.rb[1:2:1]                                    | passed | 0.00172 seconds |
./spec/models/flags/actions/ban_spec.rb[1:1:1:1]                             | passed | 0.32471 seconds |
./spec/models/flags/actions/ban_spec.rb[1:1:1:2]                             | passed | 0.49216 seconds |
./spec/models/flags/actions/ban_spec.rb[1:1:1:3]                             | passed | 0.99464 seconds |
./spec/models/flags/actions/ban_spec.rb[1:1:1:4]                             | passed | 1.11 seconds    |
